POINT_X,POINT_Y,CENTER_ID,FACILITY,FAC_CODE,LOC_CODE,ADDRESS_ID,ADDRESS_LINE1,ADDRESS_LINE2,CITY,STATE,ZIPCODE,PHONE,EXT,FAX,ALT_PHONE,PROGRAM_TYPE,ENROLL,GLOBALID
3189944.26202,1713740.48974,14.0,Escalante Biggs Elementary,DPS, ,376042.0,5300 Crown Blvd,,Denver,CO,80239,720-424-4620,, ,,Full Day,51.0,{00000000-0000-0000-0000-000000000000}
3140248.75174,1692804.77161,16.0,Greenlee,DPS,G,68788.0,1150 N Lipan St,,Denver,CO,80204,720-424-6800,,720-424-6825,,Full Day,32.0,{00000000-0000-0000-0000-000000000000}
3185869.81847,1709682.94352,17.0,McGlone,DPS,CG,174477.0,4500 N Crown Blvd,,Denver,CO,80239,720-424-5660,, ,,Full Day,34.0,{00000000-0000-0000-0000-000000000000}
3166046.80233,1692929.81191,18.0,Montclair,DPS,MONT,126605.0,1151 N Newport St,,Denver,CO,80220,720-424-5380,,720-424-5405,,Full Day,16.0,{00000000-0000-0000-0000-000000000000}
3163447.47846,1704873.23459,19.0,Smith,DPS,S,13060.0,3590 N Jasmine St,,Denver,CO,80207,720-424-4000,, ,,Full Day,34.0,{00000000-0000-0000-0000-000000000000}
3148143.35777,1699580.51312,20.0,Whittier,DPS,WH,56698.0,2480 N Downing St,,Denver,CO,80205,720-424-3040,,720-424-3065,,Full Day,17.0,{00000000-0000-0000-0000-000000000000}
3134275.80849,1668786.90062,21.0,College View,DPS,,118221.0,2675 S Decatur St,,Denver,CO,80219,720-424-8660,,720-424-8685,,Full Day,50.0,{00000000-0000-0000-0000-000000000000}
3133553.41804,1698723.93292,22.0,Family Star Northwest,FSM*,,52445.0,2246 N Federal Blvd,,Denver,CO,80211,303-477-7827,,303-477-7756,,Administrative Offices - Full Day,7.0,{00000000-0000-0000-0000-000000000000}
3146636.12584,1701982.1896,23.0,Family Star Northeast,FSM,,371791.0,2940 Curtis St,,Denver,CO,80205,303-295-7711,,303-295-0958,,Full Day / Home Base,30.0,{00000000-0000-0000-0000-000000000000}
3148509.45532,1696496.96192,24.0,Mile High Montessori,MHM ADM,,57457.0,1780 N Marion St,,Denver,CO,80218,303-861-2602,,303-861-2604,,Administrative Offices,0.0,{00000000-0000-0000-0000-000000000000}
3147765.62792,1700360.31125,25.0,Edna Oliver Child Development,MHM,EO,162890.0,2851 Tremont Pl,,Denver,CO,80205,303-295-2011,,303-295-7523,,Full Day,35.0,{00000000-0000-0000-0000-000000000000}
3131070.52086,1679790.27164,26.0,Westwood Montessori,MHM,,191515.0,980 S Lowell Blvd,,Denver,CO,80219,303-922-1123,,303-934-7551,,Part Day / Full Day / Combo,87.0,{00000000-0000-0000-0000-000000000000}
3149758.74325,1693847.24969,27.0,Warren Village Montessori,MHM,,64749.0,1323 N Gilpin St,,Denver,CO,80218,303-321-2345,,303-320-5033,,Full Day,45.0,{00000000-0000-0000-0000-000000000000}
3134426.63287,1693344.79844,28.0,Rude Park Montessori,MHM,RP,69608.0,1275 N Decatur St,,Denver,CO,80204,303-629-6785,,303-592-7384,,Full Day,17.0,{00000000-0000-0000-0000-000000000000}
3135577.85975,1692082.56535,29.0,Sun Valley Montessori,MHM,,243036.0,990 N Alcott Way,,Denver,CO,80204,303-534-5121,,303-534-5121,,Part Day,34.0,{00000000-0000-0000-0000-000000000000}
3170541.19234,1691627.12393,30.0,Lowry Montessori,MHM,L,171006.0,957 N Ulster Way,,Denver,CO,80230,303-340-1296,,303-340-1297,,Part Day / Full Day,51.0,{00000000-0000-0000-0000-000000000000}
3144950.06538,1701754.89913,31.0,Volunteers of America,VOA ADM,,43151.0,2660 Larimer St,,Denver,CO,80205,720-264-3302,,720-264-3306,,Administrative Offices,0.0,{00000000-0000-0000-0000-000000000000}
3131739.62186,1677609.53984,32.0,Bright Stars,VOA,,101028.0,3440 W Louisiana Ave,,Denver,CO,80219,303-922-6216,,303-922-6180,,Part Day,68.0,{00000000-0000-0000-0000-000000000000}
3155386.22959,1703741.55914,33.0,Rainbow House,VOA,,37481.0,3416 E Bruce Randolph Ave,,Denver,CO,80205,303-321-0605,,303-355-1358,,Part Day,17.0,{00000000-0000-0000-0000-000000000000}
3159771.93398,1675607.88147,15.0,Ellis Elementary,DPS,,137848.0,1651 S Dahlia St,,Denver,CO,80222,720-424-7700,,,,Full Day,34.0,{00000000-0000-0000-0000-000000000000}
